ano,id_municipio,municipio,desmatamento,pib,impostos_liquidos,va,va_agropecuaria,va_industria,va_servicos,va_adespss,emprego,remuneracao_media,co2e
2021,2610806,Pedra,658.1,306398000,19183000,287216000,51635000,76902000,58877000,99801000,1332,1952.65527027027,233321.31581921
2021,2610905,Pesqueira,645.4,869651000,96068000,773583000,48340000,83534000,318475000,323233000,8004,1614.876647926034,124662.16671352
2021,2611002,Petrolândia,310.3,1675876000,53434000,1622442000,62540000,1104722000,266999000,188181000,5140,2282.598385214006,216591.49932356
2021,2611101,Petrolina,1550.7,7994036000,987725000,7006312000,835938000,916340000,3494359000,1759674000,126499,1779.585725974133,751441.8482217696
2021,2611200,Poção,127.4,102107000,5842000,96265000,6609000,2933000,28285000,58438000,879,1807.585574516495,30377.48688773001
2021,2611309,Pombos,206.3,532583000,57383000,475200000,67006000,110827000,161893000,135475000,4003,1751.402390706968,209649.51352583
2021,2611408,Primavera,97.3,291696000,16700000,274996000,59752000,71466000,59295000,84483000,7547,1442.701470783095,50641.59269072997
2021,2611507,Quipapá,210.9,192325000,9309000,183016000,15841000,5762000,45538000,115875000,1780,1884.792477528092,102180.67392303
2021,2611533,Quixaba,144.9,67064000,2617000,64447000,8922000,1804000,16748000,36973000,545,1931.979504587156,70773.3027929
2021,2611606,Recife,154.8,54970305000,9802417000,45167888000,60088000,6208334000,31199529000,7699937000,867064,3055.980943056064,3255455.102769492
2021,2611705,Riacho das Almas,241.5,260563000,13870000,246693000,66166000,15962000,62353000,102213000,1968,1898.22080284553,62987.43472675001
2021,2611804,Ribeirão,260,576407000,37395000,539011000,97905000,50220000,167869000,223018000,5805,1622.286747631353,127205.9628517799
2021,2611903,Rio Formoso,193.3,379871000,21102000,358770000,74281000,65189000,89161000,130139000,12609,1540.381929574108,63749.55305921999
2021,2612000,Sairé,172.3,176225000,8869000,167357000,59072000,6481000,45927000,55877000,1542,1896.782542153049,86641.17306991994
2021,2612109,Salgadinho,61.8,80938000,2951000,77987000,5196000,1847000,17333000,53611000,649,1779.797996918337,11881.85682529
2021,2612208,Salgueiro,545.7,1002105000,136381000,865724000,15847000,72095000,492140000,285642000,10141,1943.506912533284,469684.8643687599
2021,2612307,Saloá,181.5,171051000,8676000,162375000,30621000,8384000,41102000,82268000,1648,1560.251826456311,72379.07389154
2021,2612406,Sanharó,197.5,248264000,14489000,233775000,30097000,9987000,67495000,126197000,1831,2011.578006553797,102546.64916813
2021,2612455,Santa Cruz,585.6,133592000,6163000,127428000,14997000,3764000,30544000,78124000,1300,1732.159253846153,129580.71311074
2021,2612471,Santa Cruz da Baixa Verde,86.4,113554000,6894000,106660000,5568000,5999000,31413000,63680000,1024,1813.514003906249,27034.64287336001
2021,2612505,Santa Cruz do Capibaribe,160.7,1925734000,323815000,1601918000,4629000,228825000,886124000,482340000,20651,1539.116304295201,201703.70159021
2021,2612554,Santa Filomena,589.2,111830000,4221000,107609000,10157000,4374000,23547000,69532000,971,1854.076138002058,58143.40382364
2021,2612604,Santa Maria da Boa Vista,621.1,564000000,28645000,535355000,187333000,23886000,116386000,207750000,3143,2165.091823098951,193835.19348337
2021,2612703,Santa Maria do Cambucá,83.5,122262000,7577000,114685000,2730000,7417000,35001000,69537000,837,1898.683369175627,45150.40935745002
2021,2612802,Santa Terezinha,127.1,114824000,6520000,108304000,9066000,9968000,30704000,58565000,1091,1756.824023831347,32716.84832723
2021,2612901,São Benedito do Sul,127.4,117017000,3233000,113784000,8696000,2824000,22833000,79430000,942,2008.512154989384,76893.63507352001
2021,2613008,São Bento do Una,606,1485706000,46896000,1438810000,917838000,46600000,195298000,279074000,8194,1584.814935318524,572121.64728396
2021,2613107,São Caitano,281.7,447679000,46739000,400940000,34278000,49095000,144390000,173176000,3790,1727.98249868074,207215.9999070901
2021,2613206,São João,229.4,390211000,18306000,371905000,166128000,12309000,79225000,114242000,2222,1711.016584158418,167166.9596070801
2021,2613305,São Joaquim do Monte,220.9,185467000,7606000,177861000,17395000,6234000,46770000,107462000,1274,2040.044678178959,69366.67477424
2021,2613404,São José da Coroa Grande,49.6,291007000,30776000,260231000,12899000,12477000,122077000,112779000,2621,1629.525089660436,39647.85168338
2021,2613503,São José do Belmonte,847.4,341544000,29430000,312113000,21216000,28856000,110236000,151805000,4080,1808.967598039219,200251.98178531
2021,2613602,São José do Egito,474.7,441117000,39989000,401128000,66852000,22212000,151818000,160246000,3239,1858.784180302562,178894.16482035
2021,2613701,São Lourenço da Mata,220.2,1444200000,149045000,1295155000,48159000,229189000,523610000,494196000,12689,2057.498537315782,150282.8301329
2021,2613800,São Vicente Ferrer,73.1,209528000,13252000,196276000,45370000,7005000,53267000,90634000,2220,1779.875360360359,70129.71688914996
2021,2613909,Serra Talhada,1209.1,1693347000,257213000,1436134000,49590000,143768000,813011000,429764000,16862,1784.189539793624,425310.5804825099
2021,2614006,Serrita,787.2,161153000,5411000,155741000,22085000,3967000,34130000,95559000,1525,1582.794662295083,273001.71466366
2021,2614105,Sertânia,919.1,367389000,37982000,329406000,16355000,18932000,121836000,172283000,2101,2080.02928129462,206803.2856300501
2021,2614204,Sirinhaém,296.4,722495000,46429000,676066000,150069000,127952000,172543000,225502000,14468,1804.229619850703,141486.2634459
2021,2614303,Moreilândia,283.2,90987000,3404000,87584000,11665000,2124000,21194000,52600000,747,1696.470187416332,95336.39657501002
2021,2614402,Solidão,80.9,56661000,1600000,55060000,6880000,1310000,11354000,35516000,455,2295.562241758242,23633.16605143
2021,2614501,Surubim,228.1,915558000,97630000,817928000,16176000,83789000,423487000,294477000,8946,1635.705849541695,201885.2355025301
2021,2614600,Tabira,283.9,314903000,23248000,291655000,19652000,17679000,111094000,143230000,2786,1740.469651830578,110006.03013057
2021,2614709,Tacaimbó,155.3,149159000,8884000,140275000,17430000,20107000,37101000,65638000,1300,1631.537646153844,52949.86335637
2021,2614808,Tacaratu,270.5,251978000,12218000,239761000,12097000,49130000,50435000,128098000,1758,1666.541234357224,59619.29622345999
2021,2614857,Tamandaré,156.8,395834000,31157000,364677000,12990000,24087000,189201000,138400000,5411,1582.673988172244,51413.18142674999
2021,2615003,Taquaritinga do Norte,297.5,334642000,26699000,307943000,8806000,55430000,107340000,136367000,3109,1531.920003216468,145304.81251808
2021,2615102,Terezinha,142.9,75618000,2362000,73256000,12959000,3128000,14736000,42434000,527,1738.472390891839,135749.19807666
2021,2615201,Terra Nova,109.6,95262000,6617000,88645000,4504000,11139000,21391000,51610000,716,1940.068268156424,39166.42451386001
2021,2615300,Timbaúba,216.9,746607000,69988000,676619000,42180000,75802000,317843000,240795000,11377,1631.048067153026,144791.5682721899
2021,2615409,Toritama,18.4,764572000,104600000,659972000,444000,109199000,319330000,230999000,8137,1533.807016099299,70573.93878596998
2021,2615508,Tracunhaém,125.1,176619000,18573000,158046000,30130000,5120000,54391000,68406000,1395,1660.954215053763,36673.11739464
2021,2615607,Trindade,195.6,419024000,47647000,371378000,7965000,64687000,164920000,133807000,3333,1715.356969696968,172406.78955573
2021,2615706,Triunfo,101.8,157358000,11198000,146160000,8839000,5662000,59192000,72467000,1349,1736.545633802818,35643.76753945999
2021,2615805,Tupanatinga,523.6,227130000,12122000,215008000,20834000,5667000,53504000,135003000,1604,1862.197051122193,106031.03706045
2021,2615904,Tuparetama,120.4,89139000,5695000,83444000,8237000,5723000,28293000,41191000,759,1635.238208168641,30723.98150598
2021,2616001,Venturosa,187.3,247349000,12586000,234763000,34410000,45074000,67676000,87603000,1090,2010.213293577982,117969.5135595
2021,2616100,Verdejante,167.2,80931000,3136000,77795000,5202000,3221000,19474000,49898000,869,1687.590460299195,45499.54045068
2021,2616183,Vertente do Lério,56.2,74060000,2866000,71194000,3059000,7975000,17837000,42324000,921,1567.361031487513,43446.88855399001
2021,2616209,Vertentes,136.4,194511000,12704000,181807000,4660000,13584000,61490000,102073000,1250,1758.280536,62592.97348747998
2021,2616308,Vicência,179.8,519426000,19408000,500018000,188123000,42521000,104486000,164889000,6261,1615.184922536336,95510.52346273004
2021,2616407,Vitória de Santo Antão,295.3,4551843000,872823000,3679021000,124020000,1100865000,1816037000,638099000,33203,1990.744283950238,473160.0164612098
2021,2616506,Xexéu,94.3,141411000,8249000,133162000,13442000,2932000,39554000,77235000,1699,1649.208975868157,97929.38599765998
2021,2700102,Água Branca,300.1,202655000,6415000,196240000,34103000,6900000,46764000,108473000,1469,2093.233662355346,34004.89024053
2021,2700201,Anadia,179.8,250457000,8543000,241915000,87012000,14073000,47804000,93025000,1636,1737.256344743278,70121.24778545
2021,2700300,Arapiraca,346.9,5915938000,661844000,5254094000,1159463000,466659000,2675378000,952594000,57002,1591.787206764657,562842.0280514101
2021,2700409,Atalaia,500.1,1500344000,47868000,1452477000,888067000,92736000,219962000,251712000,7675,1785.474147231266,283362.88755546
2021,2700508,Barra de Santo Antônio,90.6,262005000,6345000,255660000,107404000,13175000,46801000,88279000,1321,1781.115874337624,26263.49135912
2021,2700607,Barra de São Miguel,50.4,238431000,14747000,223684000,42233000,28738000,102820000,49893000,2498,1589.770260208168,26647.52735682001
2021,2700706,Batalha,283.1,229933000,13022000,216911000,33769000,11765000,68504000,102872000,1321,2129.520809992431,110740.9217772599
2021,2700805,Belém,62.2,191318000,1098000,190220000,137599000,4535000,17458000,30629000,677,1722.849010339733,40379.84671408003
2021,2700904,Belo Monte,225.1,151387000,2724000,148663000,76750000,16365000,15589000,39957000,397,2062.100755667505,38004.20812720002
2021,2701001,Boca da Mata,173.9,506028000,21145000,484883000,217958000,41939000,94280000,130706000,2417,1819.481952834092,97427.98622976996
2021,2701100,Branquinha,134.3,775410000,2194000,773216000,658731000,10645000,48277000,55563000,586,1889.527747440272,36759.1451013
2021,2701209,Cacimbinhas,251.6,140461000,4069000,136392000,45894000,4869000,28584000,57045000,1513,2046.012670191671,87161.55766888999
2021,2701308,Cajueiro,89.3,207869000,5706000,202163000,38159000,5459000,47588000,110957000,1642,2027.58230816078,42875.34835038998
2021,2701357,Campestre,64.4,87759000,1720000,86038000,29740000,1842000,16164000,38293000,634,1457.446955835963,18323.47836286
2021,2701407,Campo Alegre,286.8,734648000,52647000,682001000,150206000,100779000,149033000,281982000,9165,1916.419509001633,148596.4265737201
2021,2701506,Campo Grande,162.3,106114000,3241000,102873000,21789000,5158000,20722000,55205000,602,1788.413538205982,61631.38376520002
2021,2701605,Canapi,480.1,166475000,5846000,160630000,21850000,3587000,39063000,96130000,479,1450.359081419624,41323.90835300004
2021,2701704,Capela,240.9,247981000,6897000,241084000,72304000,6885000,61266000,100629000,2225,1684.710337078652,80315.75365262004
2021,2701803,Carneiros,98.8,90775000,2288000,88487000,10667000,2510000,19380000,55930000,489,2244.778139059305,22502.67722339001
2021,2701902,Chã Preta,152.2,175471000,2123000,173347000,112886000,2946000,18267000,39249000,635,1954.328598425197,93216.82533560004
2021,2702009,Coité do Nóia,84.5,211484000,3776000,207708000,110949000,4126000,32965000,59668000,519,2154.386763005782,24344.58994201
2021,2702108,Colônia Leopoldina,165,397369000,10928000,386441000,201316000,18521000,58203000,108401000,2813,1476.122900817632,74493.63139552006
2021,2702207,Coqueiro Seco,17.6,96036000,1291000,94745000,40852000,2056000,14379000,37457000,670,1927.266208955226,828.5575880000001
2021,2702306,Coruripe,745.6,1782442000,167669000,1614774000,618477000,362659000,344007000,289630000,17110,1966.269739918176,276956.9377557002
2021,2702355,Craíbas,270.7,480702000,21566000,459136000,82714000,150270000,105544000,120608000,3695,2137.811391069011,108746.80559392
2021,2702405,Delmiro Gouveia,398.3,673800000,43426000,630374000,42173000,42217000,281368000,264616000,5504,1950.284198764536,63864.65834791
2021,2702504,Dois Riachos,126.7,105248000,3061000,102187000,24288000,2435000,20119000,55345000,459,2290.879084967321,42901.26491959998
2021,2702553,Estrela de Alagoas,234.4,154329000,3809000,150519000,34144000,4049000,30542000,81784000,896,1571.917176339287,60053.15512948
2021,2702603,Feira Grande,167.4,427545000,6012000,421533000,240016000,12882000,52674000,115961000,1835,2065.986583106266,61659.57918248998
2021,2702702,Feliz Deserto,76.7,164023000,4537000,159487000,87470000,25766000,22115000,24136000,512,1674.5788671875,22966.20166543
2021,2702801,Flexeiras,277.6,297765000,4011000,293754000,189383000,6968000,35303000,62101000,1043,1658.810498561843,50980.60046471998
2021,2702900,Girau do Ponciano,456.9,549523000,17137000,532386000,220126000,13471000,105235000,193554000,1251,1735.738792965628,181072.06833001
2021,2703007,Ibateguara,208,196463000,3793000,192670000,84563000,4256000,33905000,69946000,864,1870.274016203704,48969.39550703001
2021,2703106,Igaci,330.7,311914000,5796000,306118000,115103000,7111000,57709000,126194000,1634,2210.384492044063,67778.89357424
